Date,Exercise Type,Route Color/Level,Quantity/Time,Completion,Route features,Injury,Injury Type,New Route,Overhanging Route,Handicap
05/14/2018,Yoga Class,nan,1,TRUE,nan,FALSE,nan,FALSE,FALSE,FALSE
05/14/2018,Bouldering,Gray,1,TRUE,nan,FALSE,nan,TRUE,TRUE,FALSE
05/14/2018,Bouldering,Gray,1,TRUE,nan,FALSE,nan,TRUE,FALSE,FALSE
05/14/2018,Bouldering,Gray,1,TRUE,nan,FALSE,nan,FALSE,FALSE,FALSE
05/14/2018,Bouldering,Gray,1,FALSE,nan,FALSE,nan,TRUE,TRUE,FALSE
05/14/2018,Bouldering,Gray,1,FALSE,nan,FALSE,nan,FALSE,TRUE,FALSE
05/14/2018,Bouldering,Gray,1,TRUE,nan,FALSE,nan,FALSE,TRUE,FALSE
05/14/2018,Bouldering,Gray,1,TRUE,nan,FALSE,nan,TRUE,FALSE,FALSE
05/14/2018,Bouldering,Yellow,1,TRUE,nan,FALSE,nan,TRUE,TRUE,FALSE
05/14/2018,Bouldering,Yellow,1,FALSE,nan,FALSE,nan,TRUE,FALSE,FALSE
05/14/2018,Bouldering,Yellow,9,FALSE,nan,FALSE,nan,FALSE,FALSE,FALSE
05/14/2018,Bouldering,Yellow,2,TRUE,nan,FALSE,nan,FALSE,FALSE,FALSE
05/14/2018,Bouldering,Gray,1,FALSE,nan,FALSE,nan,TRUE,TRUE,FALSE
05/14/2018,Bouldering,Gray,1,TRUE,nan,FALSE,nan,TRUE,TRUE,FALSE
05/14/2018,Bouldering,Green,1,FALSE,nan,FALSE,nan,TRUE,FALSE,FALSE
05/14/2018,Bouldering,Green,3,FALSE,nan,FALSE,nan,FALSE,FALSE,FALSE
05/14/2018,Bouldering,Yellow,1,FALSE,volume,FALSE,nan,TRUE,TRUE,FALSE
05/14/2018,Bouldering,Yellow,1,TRUE,wide-stance,FALSE,nan,TRUE,FALSE,FALSE
05/14/2018,Bouldering,Yellow,1,TRUE,corner,FALSE,nan,TRUE,FALSE,FALSE
05/14/2018,Bouldering,Yellow,1,FALSE,chip,FALSE,nan,TRUE,FALSE,FALSE
05/14/2018,Bouldering,Yellow,1,FALSE,chip,FALSE,nan,FALSE,FALSE,FALSE
05/14/2018,Bouldering,Yellow,1,TRUE,chip,FALSE,nan,FALSE,FALSE,FALSE
05/14/2018,Bouldering,Yellow,1,TRUE,nan,FALSE,nan,TRUE,TRUE,FALSE
05/16/2018,Yoga Class,nan,1,TRUE,nan,TRUE,knees+hips,FALSE,FALSE,FALSE
05/16/2018,Bouldering,Yellow,1,TRUE,volume,FALSE,nan,FALSE,TRUE,FALSE
05/16/2018,Bouldering,Gray,1,TRUE,nan,FALSE,nan,FALSE,FALSE,FALSE
05/16/2018,Bouldering,Yellow,2,FALSE,corner,FALSE,nan,FALSE,FALSE,FALSE
05/16/2018,Bouldering,Yellow,1,TRUE,nan,FALSE,nan,FALSE,TRUE,FALSE
05/16/2018,Bouldering,Yellow,2,FALSE,nan,FALSE,nan,FALSE,TRUE,FALSE
05/16/2018,Bouldering,Gray,1,TRUE,nan,FALSE,nan,FALSE,FALSE,FALSE
05/16/2018,Bouldering,Gray,1,TRUE,nan,FALSE,nan,FALSE,FALSE,FALSE
05/16/2018,Bouldering,Yellow,2,TRUE,volume,FALSE,nan,FALSE,TRUE,FALSE
05/16/2018,Bouldering,Yellow,1,FALSE,nan,FALSE,nan,FALSE,TRUE,FALSE
05/16/2018,Bouldering,Yellow,1,TRUE,jumper,FALSE,nan,TRUE,FALSE,FALSE
05/16/2018,Bouldering,Yellow,1,TRUE,nan,FALSE,nan,FALSE,FALSE,FALSE
